iter	Passed	Remaining
0	176	88086
1	192	48012
2	203	33661
3	211	26201
4	219	21750
5	227	18700
6	235	16615
7	243	14961
8	251	13703
9	258	12668
10	266	11832
11	273	11137
12	280	10517
13	288	10021
14	295	9557
15	304	9200
16	311	8847
17	319	8565
18	327	8279
19	335	8042
20	342	7811
21	350	7617
22	357	7423
23	366	7267
24	373	7097
25	381	6960
26	390	6839
27	398	6721
28	407	6623
29	416	6522
30	423	6413
31	431	6317
32	438	6209
33	445	6112
34	453	6030
35	461	5946
36	469	5878
37	477	5799
38	485	5735
39	492	5668
40	501	5612
41	508	5549
42	516	5494
43	524	5436
44	533	5390
45	540	5336
46	550	5305
47	557	5252
48	566	5212
49	573	5161
50	581	5122
51	589	5077
52	597	5042
53	605	4997
54	613	4965
55	621	4924
56	629	4890
57	636	4853
58	644	4818
59	652	4783
60	660	4749
61	667	4716
62	675	4685
63	683	4653
64	690	4624
65	699	4596
66	706	4566
67	714	4539
68	721	4508
69	729	4482
70	737	4455
71	746	4435
72	754	4414
73	763	4397
74	770	4368
75	779	4346
76	786	4319
77	795	4301
78	802	4276
79	811	4259
80	819	4238
81	828	4221
82	836	4202
83	845	4189
84	852	4161
85	860	4144
86	867	4119
87	876	4103
88	883	4081
89	892	4064
90	899	4044
91	908	4027
92	915	4007
93	923	3990
94	930	3968
95	939	3951
96	945	3929
97	954	3914
98	961	3895
99	969	3879
100	977	3860
101	985	3846
102	993	3828
103	1001	3813
104	1009	3796
105	1016	3778
106	1023	3760
107	1031	3745
108	1039	3730
109	1048	3716
110	1055	3699
111	1063	3684
112	1070	3667
113	1078	3651
114	1087	3639
115	1094	3622
116	1102	3608
117	1109	3591
118	1118	3579
119	1125	3562
120	1133	3550
121	1140	3534
122	1148	3521
123	1155	3505
124	1163	3491
125	1171	3475
126	1179	3463
127	1187	3449
128	1191	3426
129	1199	3413
130	1206	3398
131	1214	3385
132	1221	3370
133	1229	3358
134	1236	3343
135	1244	3330
136	1251	3316
137	1258	3302
138	1266	3288
139	1273	3274
140	1283	3267
141	1290	3253
142	1298	3242
143	1305	3227
144	1314	3217
145	1320	3202
146	1329	3192
147	1336	3178
148	1344	3166
149	1351	3153
150	1359	3142
151	1366	3128
152	1374	3116
153	1381	3104
154	1388	3091
155	1397	3081
156	1404	3068
157	1412	3057
158	1419	3044
159	1428	3034
160	1435	3021
161	1442	3009
162	1449	2997
163	1457	2985
164	1464	2973
165	1472	2963
166	1479	2950
167	1487	2940
168	1495	2928
169	1502	2916
170	1510	2906
171	1517	2894
172	1526	2884
173	1533	2873
174	1542	2864
175	1549	2852
176	1557	2842
177	1565	2832
178	1574	2823
179	1581	2811
180	1589	2800
181	1596	2789
182	1604	2778
183	1611	2766
184	1618	2755
185	1626	2745
186	1633	2733
187	1641	2724
188	1648	2713
189	1657	2704
190	1664	2692
191	1674	2685
192	1682	2675
193	1691	2667
194	1698	2657
195	1720	2668
196	1728	2657
197	1736	2648
198	1743	2637
199	1752	2628
200	1760	2618
201	1773	2616
202	1786	2614
203	1799	2610
204	1812	2607
205	1824	2604
206	1838	2602
207	1849	2596
208	1858	2587
209	1868	2579
210	1875	2568
211	1883	2559
212	1893	2550
213	1902	2542
214	1911	2533
215	1920	2525
216	1929	2516
217	1938	2507
218	1947	2499
219	1955	2488
220	1964	2479
221	1972	2470
222	1982	2462
223	2002	2467
224	2016	2464
225	2030	2461
226	2037	2450
227	2045	2439
228	2052	2428
229	2060	2418
230	2068	2408
231	2075	2397
232	2085	2389
233	2093	2379
234	2101	2369
235	2108	2358
236	2117	2349
237	2124	2339
238	2134	2330
239	2142	2320
240	2150	2310
241	2158	2300
242	2166	2291
243	2174	2281
244	2182	2271
245	2189	2260
246	2197	2250
247	2205	2240
248	2213	2231
249	2220	2220
250	2228	2211
251	2236	2201
252	2244	2191
253	2252	2181
254	2260	2171
255	2267	2161
256	2276	2152
257	2283	2142
258	2292	2132
259	2299	2122
260	2306	2112
261	2314	2102
262	2322	2092
263	2330	2083
264	2337	2073
265	2345	2063
266	2353	2053
267	2361	2043
268	2368	2033
269	2376	2024
270	2383	2014
271	2392	2005
272	2399	1995
273	2409	1987
274	2416	1976
275	2424	1967
276	2431	1957
277	2440	1948
278	2447	1939
279	2456	1929
280	2463	1919
281	2471	1910
282	2478	1900
283	2486	1891
284	2493	1881
285	2501	1871
286	2508	1861
287	2516	1852
288	2524	1843
289	2532	1833
290	2541	1825
291	2548	1815
292	2557	1806
293	2564	1796
294	2573	1788
295	2580	1778
296	2590	1770
297	2598	1761
298	2607	1752
299	2614	1742
300	2622	1733
301	2630	1724
302	2639	1716
303	2649	1708
304	2656	1698
305	2664	1689
306	2671	1679
307	2679	1670
308	2687	1661
309	2695	1652
310	2705	1644
311	2714	1635
312	2721	1626
313	2730	1617
314	2737	1608
315	2747	1599
316	2762	1594
317	2774	1588
318	2783	1579
319	2791	1570
320	2799	1561
321	2810	1553
